S.No.,Cocoon Weight (gm),Cocoon length(cm),mean width(cm),Cross sectional Area (cm2),Cocoon Volume (cm3),Shell Weight (gm),Category
207,9.16,4.92,3.1,22.75,25.3,1.27,Daba RC II
208,11.76,5.01,3.07,22.73,29,1.63,Daba RC I
209,10.19,5.18,2.9,21.62,24.8,1.75,Daba RC I
210,10.34,5.41,3.14,24.68,33.7,1.65,Daba RC I
211,12.39,5.6,3.14,25.32,34.6,2.25,Daba RC Super
212,12.15,5.11,3.05,22.89,32.1,1.37,Daba RC II
213,11.61,5,3.12,23.24,30.4,1.45,Daba RC II
214,9.19,5.43,3.22,25.57,35.5,1.62,Daba RC I
215,9.27,4.6,2.94,20.26,25,1.48,Daba RC II
216,10.2,5.09,3.13,23.62,30,1.63,Daba RC I
217,9.4,4.86,3,21.6,26.9,1.81,Daba RC I
218,6.84,5.15,3.01,22.56,29.6,1.3,Daba RC II
219,10.63,5.05,3.3,25.21,30.5,1.92,Daba RC I
220,8.8,5.06,3.04,22.59,27.3,1.38,Daba RC II
221,11.41,5.21,3.19,24.61,32.6,1.62,Daba RC I
222,12.43,5.31,3.26,25.6,33.6,1.61,Daba RC I
223,12.5,5.41,3.09,24.21,31.8,1.58,Daba RC I
224,10.19,5.08,3.12,23.44,29.2,1.13,Daba RC III
225,10.06,5.31,3.25,25.55,33.3,1.41,Daba RC II
226,14.64,5.38,3.24,25.62,33.7,1.73,Daba RC I
227,9.96,5.28,2.97,22.61,26.8,1.49,Daba RC II
228,9.11,4.76,2.95,20.87,25.2,1.31,Daba RC II
229,9.89,4.9,2.94,21.19,24,1.36,Daba RC II
230,11.51,5.4,3.18,25.11,32,1.74,Daba RC I
231,10.56,5.2,3.13,23.92,28,1.35,Daba RC II
232,9.4,5.15,3.04,22.86,26.6,1.67,Daba RC I
233,11.52,5.38,3.15,24.74,30.2,1.5,Daba RC II
234,11.42,5.38,3.21,25.31,29.8,1.53,Daba RC II
235,10.74,4.85,3.11,22.68,26.7,1.35,Daba RC II
236,9.63,5.1,2.97,22.02,26.1,1.16,Daba RC III
237,9.87,4.86,3.31,24.69,29.8,1.68,Daba RC I
238,9.32,4.69,2.9,20.16,24.1,1.26,Daba RC II
239,9.85,5.12,3.06,23.02,30.2,1.09,Daba RC III
240,7.75,5.4,3.2,25.32,32.9,1.43,Daba RC II
241,12.57,5.25,3.19,24.74,29.7,1.66,Daba RC I
242,13.29,5.4,3.26,25.95,33.9,1.9,Daba RC I
243,12.61,5.36,3.21,25.29,31.4,1.84,Daba RC I
244,11.63,5.21,3.15,24.15,28.8,1.65,Daba RC I
245,10.69,5.05,3.13,23.5,31.3,1.63,Daba RC I
246,10.39,4.82,3.2,23.41,27.2,1.37,Daba RC II
247,10.54,4.8,3.09,22.28,26.1,1.63,Daba RC I
248,12.99,5.91,3.4,29.11,39.2,2.04,Daba RC I
249,11.53,5.75,3.32,27.74,38.8,1.92,Daba RC I
250,14.95,5.57,3.35,27.42,36.2,2.16,Daba RC Super
251,11.53,5.1,3.12,23.55,27.8,1.6,Daba RC I
252,11.71,3.75,3.31,20.97,29.1,1.86,Daba RC I
